index	chrom	start	end	strand	contains_unk	Adipose|ATAC|None	Adipose|E10|None	Adipose|E11|None	Adipose|E12|None	Adipose|E13|None	Adipose|E14|None	Adipose|E15|None	Adipose|E1|None	Adipose|E2|None	Adipose|E3|None
0	chr1	258922297	258922298	.	False	1.72e-02	1.99e-02	6.95e-03	3.98e-04	3.05e-02	2.15e-01	7.02e-01	2.56e-04	9.28e-04	1.47e-04
1	chr9	126345377	126345378	.	False	1.45e-03	2.24e-02	6.30e-04	1.88e-04	1.02e-02	4.81e-02	7.93e-01	1.96e-04	7.28e-03	1.37e-04
2	chr9	114246523	114246524	.	False	1.00e-02	4.94e-02	3.13e-03	7.45e-04	1.74e-02	9.21e-02	7.47e-01	4.87e-04	4.97e-03	5.27e-04
3	chr1	266893208	266893209	.	False	1.95e-01	8.29e-02	7.60e-02	9.19e-03	8.75e-02	1.55e-01	3.58e-01	7.28e-03	9.86e-03	3.27e-02
4	chr1	251601179	251601180	.	False	1.13e-02	5.47e-02	1.77e-03	4.89e-04	2.81e-03	4.88e-02	8.66e-01	1.40e-03	4.57e-03	1.23e-03
5	chr1	232271975	232271976	.	False	2.77e-02	1.05e-02	5.04e-03	1.08e-04	3.75e-03	8.21e-02	8.99e-01	1.17e-04	2.41e-04	1.10e-04
6	chr1	234086334	234086335	.	False	1.06e-02	2.67e-02	4.68e-03	2.18e-04	2.58e-02	1.73e-01	7.25e-01	1.57e-04	5.43e-04	1.89e-04
7	chr1	237156957	237156958	.	False	9.25e-03	2.86e-02	4.35e-03	2.55e-04	9.67e-03	9.83e-02	8.59e-01	1.79e-04	1.04e-03	2.09e-04
8	chr1	221696986	221696987	.	False	2.27e-02	2.95e-02	1.25e-02	6.17e-04	8.25e-02	2.10e-01	6.15e-01	1.82e-04	5.13e-04	2.82e-04
9	chr1	270918807	270918808	.	False	1.94e-01	1.70e-03	2.83e-01	3.51e-02	3.44e-01	6.63e-03	4.56e-03	1.96e-03	4.70e-04	1.76e-02
10	chr9	118716389	118716390	.	False	1.53e-01	2.69e-02	2.03e-01	5.62e-03	2.66e-01	1.87e-01	2.33e-01	6.95e-04	8.79e-04	1.73e-03
11	chr1	261684831	261684832	.	False	8.80e-01	1.62e-04	1.06e-03	2.42e-01	8.99e-03	2.57e-04	1.20e-03	2.36e-01	4.66e-03	1.97e-01
12	chr9	130365621	130365622	.	False	2.69e-02	9.64e-02	7.09e-03	1.11e-03	1.94e-02	8.10e-02	7.07e-01	1.02e-03	6.80e-03	1.57e-03
13	chr9	131131739	131131740	.	False	2.00e-01	1.15e-01	9.14e-02	3.56e-03	1.27e-01	2.01e-01	2.55e-01	9.66e-04	9.37e-04	3.79e-03
14	chr1	221637609	221637610	.	False	1.64e-03	5.39e-02	6.21e-04	6.08e-04	1.19e-02	5.48e-02	8.16e-01	4.02e-04	7.31e-03	5.90e-04
15	chr1	211549532	211549533	.	False	1.15e-03	1.55e-02	7.28e-04	3.21e-04	7.24e-03	3.62e-02	9.17e-01	2.00e-04	5.87e-03	1.17e-04
16	chr1	212596066	212596067	.	False	1.71e-03	1.33e-02	4.03e-04	8.99e-05	1.89e-03	2.15e-02	9.52e-01	1.51e-04	7.92e-04	1.25e-04
17	chr1	219137866	219137867	.	False	8.19e-02	1.06e-01	3.14e-02	1.18e-03	5.54e-02	1.98e-01	5.13e-01	3.24e-04	7.64e-04	1.13e-03
18	chr1	231725557	231725558	.	False	2.45e-03	1.71e-02	1.06e-03	1.73e-04	1.20e-02	8.71e-02	8.70e-01	9.40e-05	9.33e-04	1.67e-04
19	chr1	230429486	230429487	.	False	1.34e-01	7.44e-02	4.76e-02	1.12e-02	1.10e-01	1.05e-01	3.26e-01	5.40e-03	9.86e-03	5.99e-02
20	chr1	246852622	246852623	.	False	7.49e-02	5.32e-02	8.76e-03	1.66e-02	3.64e-02	3.17e-02	1.13e-01	1.26e-02	8.35e-02	5.88e-02
21	chr1	228994345	228994346	.	False	3.13e-02	4.41e-02	1.38e-02	7.97e-04	3.99e-02	1.86e-01	7.15e-01	5.35e-04	1.25e-03	9.78e-04
22	chr9	66002466	66002467	.	False	1.38e-01	7.49e-02	9.53e-02	1.63e-03	4.66e-02	1.59e-01	4.00e-01	1.88e-03	5.00e-03	7.98e-03
