index	chrom	start	end	strand	contains_unk	Adipose|ATAC|None	Adipose|E10|None	Adipose|E11|None	Adipose|E12|None	Adipose|E13|None	Adipose|E14|None	Adipose|E15|None	Adipose|E1|None	Adipose|E2|None	Adipose|E3|None	Adipose|E4|None	Adipose|E5|None	Adipose|E6|None	Adipose|E7|None
0	chr9	118652805	118652806	.	False	7.10e-04	2.88e-02	4.40e-03	3.33e-04	2.52e-02	2.76e-01	6.73e-01	7.31e-05	3.46e-04	1.97e-04	4.10e-04	1.03e-03	5.57e-04	1.00e-03
1	chr1	185153039	185153040	.	False	6.32e-04	5.15e-02	2.89e-03	2.36e-04	4.06e-03	1.23e-01	7.84e-01	3.09e-04	2.04e-03	4.09e-04	4.35e-04	5.04e-03	4.08e-04	9.81e-04
2	chr1	171819308	171819309	.	False	5.47e-04	2.35e-02	2.73e-03	1.58e-04	1.16e-02	2.32e-01	7.56e-01	7.97e-05	3.19e-04	1.06e-04	1.99e-04	1.10e-03	2.95e-04	7.83e-04
3	chr9	126278412	126278413	.	False	9.10e-04	3.89e-02	4.52e-03	3.65e-04	1.01e-02	2.66e-01	6.76e-01	2.19e-04	1.24e-03	3.31e-04	9.17e-04	6.71e-03	5.03e-04	1.56e-03
4	chr9	110624421	110624422	.	False	1.87e-03	1.22e-02	3.42e-03	2.45e-04	1.93e-03	1.48e-01	8.05e-01	2.96e-04	4.23e-04	2.10e-04	6.05e-04	6.27e-03	2.57e-04	5.00e-04
5	chr9	79479348	79479349	.	False	1.26e-02	5.62e-02	2.08e-02	6.77e-04	1.36e-02	1.68e-01	6.31e-01	3.43e-04	1.60e-03	1.33e-03	1.37e-03	6.03e-03	4.15e-03	1.04e-02
6	chr9	81389815	81389816	.	False	3.47e-02	7.27e-02	7.67e-02	2.65e-03	6.86e-02	2.08e-01	4.00e-01	4.73e-04	1.51e-03	4.67e-03	2.95e-03	5.62e-03	1.89e-02	3.78e-02
7	chr9	36375836	36375837	.	False	1.59e-03	6.26e-02	1.06e-02	6.20e-04	2.32e-02	1.80e-01	6.28e-01	3.97e-04	4.33e-03	2.06e-03	1.69e-03	9.63e-03	9.40e-04	3.44e-03
8	chr9	68405588	68405589	.	False	1.37e-03	4.61e-02	1.49e-02	6.36e-04	6.26e-02	3.43e-01	5.29e-01	1.75e-04	6.95e-04	7.36e-04	6.02e-04	2.35e-03	2.25e-03	3.78e-03
9	chr9	130900885	130900886	.	False	4.70e-02	5.84e-02	1.57e-01	2.17e-02	1.85e-01	6.29e-02	2.17e-01	2.73e-04	2.36e-03	1.57e-02	8.57e-03	4.62e-03	5.58e-02	1.28e-01
