index	chrom	start	end	strand	contains_unk	Adipose|ATAC|None	Adipose|E10|None	Adipose|E11|None	Adipose|E12|None	Adipose|E13|None	Adipose|E14|None	Adipose|E15|None	Adipose|E1|None	Adipose|E2|None	Adipose|E3|None
0	chr1	250089209	250089210	.	False	1.17e-02	1.79e-01	6.36e-03	1.50e-03	2.99e-02	1.09e-01	5.57e-01	6.39e-04	6.90e-03	3.15e-03
1	chr1	255079985	255079986	.	False	3.55e-01	3.63e-02	2.11e-01	1.31e-02	1.93e-01	1.17e-01	2.21e-01	2.39e-03	1.54e-03	1.83e-02
2	chr1	252954471	252954472	.	False	1.04e-01	6.34e-02	6.37e-02	2.25e-03	1.46e-01	2.56e-01	4.45e-01	7.43e-04	8.01e-04	2.18e-03
3	chr1	264124927	264124928	.	False	2.95e-02	7.13e-02	4.48e-03	7.10e-05	3.17e-03	4.72e-02	8.79e-01	8.87e-05	4.86e-04	2.05e-04
4	chr1	254123095	254123096	.	False	3.03e-01	1.08e-01	2.94e-01	3.41e-03	4.73e-02	3.07e-02	1.08e-01	2.12e-03	1.19e-03	2.89e-02
5	chr1	230307656	230307657	.	False	9.04e-04	1.96e-02	3.79e-04	3.18e-04	3.45e-03	1.49e-02	9.06e-01	3.42e-04	1.28e-02	1.11e-04
6	chr1	272356731	272356732	.	False	3.88e-01	1.35e-02	1.46e-01	5.83e-02	2.00e-01	1.63e-02	1.81e-02	1.27e-02	2.61e-03	1.15e-01
7	chr1	235513499	235513500	.	False	2.85e-01	7.84e-02	8.02e-02	4.33e-03	7.72e-02	1.46e-01	3.50e-01	1.55e-03	1.48e-03	9.45e-03
8	chr1	271765636	271765637	.	False	9.26e-01	3.68e-04	4.14e-03	9.32e-02	1.31e-02	9.70e-04	5.13e-03	5.82e-01	9.85e-03	1.86e-01
9	chr1	212273442	212273443	.	False	3.32e-03	5.18e-02	1.05e-03	2.55e-04	6.22e-03	4.54e-02	8.76e-01	2.22e-04	2.45e-03	2.74e-04
10	chr1	236095081	236095082	.	False	2.19e-02	9.62e-02	7.26e-03	7.15e-04	1.92e-02	9.11e-02	7.34e-01	3.74e-04	1.15e-03	1.30e-03
11	chr9	129297524	129297525	.	False	5.00e-01	3.67e-02	1.66e-01	2.44e-02	9.09e-02	2.56e-02	1.61e-01	8.55e-03	2.15e-03	3.97e-02
12	chr9	114095662	114095663	.	False	1.10e-01	6.52e-02	8.93e-02	2.01e-03	5.76e-02	1.64e-01	4.93e-01	7.87e-04	1.41e-03	5.38e-03
13	chr1	260492488	260492489	.	False	6.20e-03	3.51e-02	8.27e-03	6.13e-04	2.49e-02	1.61e-01	6.93e-01	2.68e-04	3.89e-03	8.33e-04
14	chr1	217237915	217237916	.	False	9.11e-01	3.98e-04	2.06e-03	2.28e-01	9.60e-03	1.22e-03	2.94e-03	6.71e-01	1.01e-02	9.26e-02
15	chr1	243714404	243714405	.	False	5.72e-03	1.56e-02	8.63e-04	1.32e-04	7.49e-03	7.50e-02	8.87e-01	1.04e-04	6.48e-04	8.47e-05
16	chr1	247624293	247624294	.	False	1.72e-03	7.32e-03	7.01e-04	8.06e-05	8.38e-03	9.50e-02	8.96e-01	8.25e-05	2.22e-04	6.27e-05
17	chr1	230750456	230750457	.	False	1.39e-01	4.53e-02	5.29e-02	1.43e-03	6.81e-02	1.68e-01	6.07e-01	5.19e-04	7.12e-04	2.07e-03
18	chr1	249596794	249596795	.	False	3.89e-03	1.65e-02	7.53e-04	8.78e-05	4.36e-03	5.35e-02	8.90e-01	1.77e-04	1.04e-03	1.28e-04
19	chr1	270513948	270513949	.	False	2.15e-01	1.68e-03	2.68e-01	1.26e-01	1.98e-01	4.83e-03	1.17e-02	6.41e-03	9.96e-04	3.63e-02
20	chr1	206511059	206511060	.	False	8.25e-02	6.92e-02	4.45e-02	3.37e-03	9.00e-02	1.74e-01	5.27e-01	1.14e-03	1.79e-03	8.47e-03
21	chr1	273259152	273259153	.	False	3.92e-01	4.78e-04	5.36e-01	2.05e-02	2.18e-01	2.41e-03	5.94e-03	2.41e-03	2.42e-04	2.22e-02
22	chr1	265280883	265280884	.	False	3.47e-01	1.07e-03	7.73e-02	6.07e-01	2.01e-01	4.18e-03	4.95e-03	1.52e-02	2.41e-03	5.35e-02
23	chr1	196979949	196979950	.	False	3.32e-04	7.18e-03	1.50e-04	9.34e-05	3.23e-03	3.64e-02	9.40e-01	8.51e-05	1.17e-03	5.79e-05
